valence,year,acousticness,artists_combined,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artist_count,artist_1,genre,anomaly
0.0357,1998,0.937,['Boards of Canada'],0.223,91707,0.0138,0,0aPrTlWUf2nmDkC9gcP5kZ,0.916,5,0.13,-32.843,0,Olson,51,4/20/1998,0.0294,64.017,1,Boards of Canada,Electronic,-1
0.277,2000,6.17e-05,['Pantera'],0.243,316493,0.988,1,6LhUsJiXAuxoalUz01evh0,0.12,8,0.341,-3.485,1,Revolution Is My Name,54,1/1/2000,0.197,89.905,1,Pantera,heavy metal,-1
0.854,2004,0.577,['Kanye West'],0.473,760973,0.727,1,7iOhWWYjhhQiXzF4o4HhXN,0.0,8,0.316,-6.843,1,Last Call,53,2/10/2004,0.356,83.212,1,Kanye West,Hip hop,-1
0.869,2004,0.684,['Kanye West'],0.418,81787,0.447,1,7wL7Lb8Q3aYyq6gmRL0PZq,2.1e-06,0,0.414,-9.058,0,Graduation Day,51,2/10/2004,0.338,169.336,1,Kanye West,Hip hop,-1
0.589,2006,0.054,['J Dilla'],0.23,119387,0.772,1,4jVqbLx0MvlIaj3h2D872X,0.000138,1,0.644,-6.349,1,Don't Cry,54,2/7/2006,0.342,173.377,1,J Dilla,Time Out,-1
0.0,2009,0.993,['Jon Hopkins'],0.0,100947,0.00834,0,4TzRObrwZ4eDjdrXlNgJyR,0.936,1,0.195,-23.201,1,Small Memory,52,5/5/2009,0.0,0.0,1,Jon Hopkins,IDM,-1
0.0332,2014,0.129,"['Max Richter', 'Louisa Fuller', 'Natalia Bonner', 'John Metcalfe', 'Philip Sheppard', 'Chris Worsey']",0.144,371747,0.347,0,7HvhQfQDlYCB4n73r4duw2,0.879,10,0.11,-12.662,0,On The Nature Of Daylight,57,1/1/2014,0.041,86.242,6,Max Richter,Contemporary classical,-1
0.201,2016,0.769,['Frank Ocean'],0.266,564166,0.678,1,5k8LB57xOq8UUNVaKWSqrf,9.37e-05,1,0.503,-12.364,1,Futura Free,63,8/20/2016,0.508,83.434,1,Frank Ocean,pop,-1
0.292,2019,0.0663,['Rod Wave'],0.872,121522,0.434,1,0by8c0tvXiwBHKkCpsvLNt,0.0,1,0.096,-11.737,1,Green Light,65,11/1/2019,0.733,82.974,1,Rod Wave,Hip hop,-1
0.934,1935,0.955,['Lead Belly'],0.541,72960,0.816,0,3BZYbMQITmIwyZBNVqBXBd,0.848,5,0.236,-8.367,1,Mary Don't You Weep (131-B-1),1,1/1/1935,0.27,88.354,1,Lead Belly,folk,-1
0.753,1940,0.996,"['Nilla Pizzi', 'Luciano Benevene']",0.686,175804,0.0847,0,1RRC96isVERCt1FFL3OVkJ,0.894,8,0.113,-19.127,1,Che si fa (con le fanciulle),0,6/29/1940,0.156,86.818,2,Nilla Pizzi,jazz,-1
0.685,1955,0.737,['Louis Armstrong'],0.38,255933,0.714,0,0eX2hruy5IhfehEjLQ86sV,0.000126,1,0.973,-11.273,1,All of Me,8,1/1/1955,0.776,178.904,1,Louis Armstrong,jazz,-1
0.498,1959,0.953,['Tom Lehrer'],0.519,395573,0.458,0,2sJ4bMRUpZSUaqfGmYVKw8,1.05e-06,2,0.936,-14.234,1,In Old Mexico,16,1/1/1959,0.775,110.804,1,Tom Lehrer,novelty,-1
